time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449700000	17.0844	18.9536	4.75332	2.47048	0.540981	lidar	1.08424	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9138	19.119	4.75464	2.48432	0.52366	radar	3.30319	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.6941	19.2238	4.74826	2.52761	0.540363	lidar	3.76162	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5061	19.3719	4.75219	2.54867	0.534011	radar	3.30201	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.2954	19.5214	4.7732	2.57311	0.53066	lidar	1.0785	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0744	19.6172	4.76849	2.61498	0.549196	radar	9.70333	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8783	19.7591	4.77549	2.63289	0.539684	lidar	1.23547	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6825	19.8848	4.76785	2.64479	0.515056	radar	3.53268	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4667	20.0294	4.79116	2.6618	0.505423	lidar	2.10235	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2615	20.1603	4.79607	2.67555	0.490444	radar	5.94264	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0743	20.2986	4.7923	2.68451	0.475792	lidar	3.05733	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8482	20.3855	4.7924	2.71697	0.486328	radar	2.04875	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6362	20.5055	4.79882	2.73256	0.477687	lidar	0.992728	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.407	20.5906	4.80369	2.76432	0.490082	radar	1.33021	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1601	20.6597	4.8142	2.79797	0.498303	lidar	1.37243	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9278	20.7303	4.81677	2.82977	0.509406	radar	0.451959	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6592	20.7856	4.8423	2.86635	0.518781	lidar	3.34967	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.4153	20.8215	4.84498	2.91097	0.547148	radar	2.76128	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1669	20.8649	4.85175	2.94288	0.551149	lidar	0.4058	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9344	20.9188	4.85062	2.96716	0.548861	radar	1.69357	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.724	20.9776	4.83216	2.98441	0.540088	lidar	2.41465	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4795	21.0127	4.8389	3.01407	0.545108	radar	2.78053	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2337	21.0541	4.84809	3.03705	0.540505	lidar	0.334355	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.994	21.073	4.84832	3.06826	0.54861	radar	1.0727	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.742	21.0433	4.84606	3.11204	0.564453	lidar	3.04821	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4959	21.0326	4.84763	3.14723	0.573023	radar	1.19113	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2707	21.035	4.83342	3.17228	0.570352	lidar	0.796903	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0207	21.0007	4.83885	3.21139	0.582385	radar	4.45213	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.798	20.9679	4.81987	3.24435	0.587202	lidar	0.860261	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5543	20.9595	4.8198	3.25996	0.565501	radar	5.23985	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2903	20.9878	4.84938	3.26646	0.542601	lidar	5.21105	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0517	20.9651	4.84836	3.28913	0.53774	radar	0.907632	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.84095	20.9333	4.82195	3.31358	0.536854	lidar	2.15555	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60456	20.9175	4.81392	3.32192	0.509293	radar	2.50525	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.39605	20.868	4.78788	3.34924	0.512498	lidar	1.70043	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.16678	20.8265	4.78316	3.37051	0.507866	radar	1.50412	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89517	20.7867	4.81968	3.38783	0.498148	lidar	3.21214	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.66935	20.7141	4.81391	3.41735	0.503146	radar	4.43672	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40783	20.6191	4.84509	3.45056	0.509482	lidar	4.2947	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17901	20.5404	4.84512	3.47745	0.511564	radar	0.047976	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.94063	20.4584	4.85511	3.50195	0.510028	lidar	0.252821	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.7204	20.3724	4.85356	3.53049	0.51738	radar	3.39898	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.43809	20.3132	4.90197	3.53778	0.49684	lidar	6.29916	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.21184	20.2153	4.90219	3.56168	0.494642	radar	0.247207	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.95574	20.1348	4.9282	3.57467	0.481889	lidar	1.95548	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.73354	20.0389	4.92372	3.59353	0.474939	radar	0.440851	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.48738	19.9515	4.94152	3.6059	0.462956	lidar	1.21444	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.27039	19.8528	4.93514	3.62417	0.4583	radar	2.70322	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	6.01366	19.7639	4.96234	3.63173	0.442033	lidar	2.47237	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.79663	19.6229	4.97443	3.66615	0.459434	radar	2.26587	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.59922	19.5066	4.95657	3.68797	0.459043	lidar	1.06794	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.39631	19.3608	4.95732	3.71866	0.468539	radar	1.73735	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.17556	19.2668	4.95426	3.72489	0.451719	lidar	2.60599	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.97381	19.148	4.9393	3.73807	0.438877	radar	4.20804	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.79589	18.996	4.92261	3.76819	0.447638	lidar	0.823537	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.5948	18.8463	4.93033	3.79345	0.453233	radar	1.54231	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.40674	18.7178	4.9153	3.80979	0.447569	lidar	1.41496	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21626	18.5726	4.90562	3.82588	0.43745	radar	1.35261	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
